UNIQUE_IDENTIFIER,NUM_NEARBY_SHIPS
12 120158,1
12 124044,1
12 124065,1
12 124096,1
12 124114,0
12 124115,0
12 124116,0
12 124134,0
12 130006,1
12 130053,0
12 130054,1
12 130057,1
12 130103,0
12 130104,0
12 130132,0
12 130139,0
12 130141,0
12 130951,0
12 134123,0
12 140005,0
12 150001,0
12 150006,0
12 150028,0
12 150030,0
12 150038,0
12 150052,0
12 150068,0
12 150074,0
12 150107,1
12 150112,1
12 150135,0
12 150181,0
12 150182,0
12 150189,18191
12 150201,0
12 150210,1
12 150211,0
12 150213,0
12 150214,0
12 150223,0
12 150225,1
12 150243,0
12 150244,2
12 150253,0
12 150254,0
12 150307,0
12 154259,0
12 154260,0
12 154311,0
12 154355,0
12 155522,2
12 157191,0
12 157501,0
12 157801,0
12 170052,1
12 170054,1
12 170057,1
12 170058,0
12 170061,1
12 170064,1
12 170065,1
12 170158,1
12 170167,0
12 170168,0
12 170169,1
12 170170,1
12 170176,2
12 290030,1
12 290083,1
12 300031,0
12 300061,0
12 310002,0
12 310007,0
12 320016,0
12 330009,0
12 330027,0
12 350001,0
12 350037,0
12 350038,0
12 350054,0
12 350055,0
12 360055,0
12 364040,0
12 364140,0
12 370023,0
12 370030,0
12 374021,0
12 380049,0
12 380087,0
12 460019,0
12 460053,1381
12 460077,0
12 460089,0
12 460112,864
12 460113,859
12 460128,0
12 464096,0
12 464150,372
12 470029,0
12 470052,0
12 480045,0
12 480118,2
12 480123,0
12 480137,0
12 480139,0
12 480140,0
12 480191,2
12 480197,0
12 480213,0
12 480214,0
12 480289,224
12 480290,224
12 490023,0
12 490031,0
12 490034,0
12 490100,0
12 500086,0
12 500087,0
12 510048,0
12 510052,0
12 510951,0
12 530951,0
12 53GA96,0
12 550111,0
12 570017,0
12 570018,0
12 570034,0
12 570054,0
12 570082,0
12 570091,0
12 580167,0
12 580168,0
12 580174,0
12 580951,0
12 600108,0
12 600224,0
12 610047,0
12 610062,0
12 700028,525
12 700030,2684
12 700031,2598
12 700061,0
12 700072,0
12 700077,0
12 700081,0
12 700110,0
12 700115,521
12 700117,2801
12 700137,0
12 700143,0
12 700147,0
12 700174,0
12 700181,0
12 700184,0
12 700201,0
12 700219,0
12 700220,0
12 700221,0
12 700224,0
12 700227,0
12 703009,0
12 704011,0
12 704063,0
12 710006,7
12 710009,2
12 710049,5
12 710050,2
12 714034,0
12 720005,0
12 720006,0
12 720011,6605
12 720022,7
12 720027,0
12 720032,0
12 720033,0
12 720042,0
12 720043,0
12 720044,0
12 720052,0
12 720053,0
12 720059,3239
12 720060,22308
12 720064,26
12 720066,0
12 720076,3769
12 720077,22418
12 720107,53
12 720109,37
12 720110,34
12 720146,6340
12 720218,0
12 720249,8
12 720264,44
12 720271,0
12 720272,0
12 720280,37
12 720281,34
12 720326,0
12 720336,0
12 720343,8
12 720352,6
12 720370,0
12 720371,0
12 720425,0
12 720428,0
12 720435,0
12 720442,0
12 720443,0
12 720444,0
12 720445,0
12 720457,0
12 720473,0
12 720474,0
12 720475,7964
12 720476,7963
12 720509,0
12 720514,0
12 720518,22482
12 720550,9285
12 720570,7
